Paragraph_ID|Filename|Paragraph|cleaned_paragraph|cluster_id|classified_class|pair_index|similarity|nli_score|pair_Paragraph_ID|pair_Filename|pair_Paragraph
BaselFramework.di.json_p1147_i2|BaselFramework.di.json|82 No credit facilities, liquidity facilities or other contingent funding facilities that the bank holds at other institutions for its own purposes are assumed to be able to be drawn. Such facilities must receive a 0% inflow rate, meaning that this scenario does not consider inflows from committed credit or liquidity facilities. This is to reduce the contagion risk of liquidity shortages at one bank causing shortages at other banks and to reflect the risk that other banks may not be in a position to honour credit facilities, or may decide to incur the legal and reputational risk involved in not honouring the commitment, in order to conserve their own liquidity or reduce their exposure to that bank.|credit facility liquidity facility contingent funding facility bank hold institution purpose assumed able drawn facility must receive inflow rate meaning scenario consider inflow committed credit liquidity facility reduce contagion risk liquidity shortage one bank causing shortage bank reflect risk bank may position honour credit facility may decide incur legal reputational risk involved honouring commitment order conserve liquidity reduce exposure bank|10|Risk_ReputationImpact|34|0.9603397250175476|0.49426427483558655|Guidelines on institutions stress testing (EBA-GL-2018-04).di.json_p42_i7|Guidelines on institutions stress testing (EBA-GL-2018-04).di.json|e) the internalisation of risks related to specific activities, as in the case of prime brokerage where symmetry, to a certain extent, might be required between the lending side and the borrowing side of securities, i.e. customer long positions are funded using the proceeds from customer short trades. Such symmetry is subject to counterparties' behaviour and is therefore sensitive to reputational risk. In the event of such risk, it may trigger the unwinding of trades that would unexpectedly leave the institution with securities on its balance sheet, along with the need to fund them;
BaselFramework.di.json_p1277_i5|BaselFramework.di.json|ensure that the economic substance of a bank's risk exposures, including reputational risk and valuation uncertainty, are fully recognised and incorporated into the bank's risk management processes;|ensure economic substance bank risk exposure including reputational risk valuation uncertainty fully recognised incorporated bank risk management process|16|Risk_ReputationImpact|62|0.9300826787948608|0.5236870050430298|L_2017169EN.01000801_1.json_p1_i9|L_2017169EN.01000801_1.json|Asset managers, backed by sponsors, can decide to provide discretionary support to maintain the liquidity and the stability of their MMFs. Sponsors are often forced to support their sponsored MMFs that are losing value due to reputational risk and fear that panic could spread into sponsors' other businesses. Depending on the size of the MMF and the extent of the redemption pressure, sponsor support could reach proportions that exceed their readily available reserves. Therefore, an MMF should not receive external support.
BaselFramework.di.json_p1282_i4|BaselFramework.di.json|29 Reputational risk can be defined as the risk arising from negative perception on the part of customers, counterparties, shareholders, investors, debt-holders, market analysts, other relevant parties or regulators that can adversely affect a bank's ability to maintain existing, or establish new, business relationships and continued access to sources of funding (eg through the interbank or securitisation markets). Reputational risk is multidimensional and reflects the perception of other market participants. Furthermore, it exists throughout the organisation and exposure to reputational risk is essentially a function of the adequacy of the bank's internal risk management processes, as well as the manner and efficiency with which management responds to external influences on bank-related transactions.|reputational risk defined risk arising negative perception part customer counterparties shareholder investor debtholders market analyst relevant party regulator adversely affect bank ability maintain existing establish new business relationship continued access source funding eg interbank securitisation market reputational risk multidimensional reflects perception market participant furthermore exists throughout organisation exposure reputational risk essentially function adequacy bank internal risk management process well manner efficiency management responds external influence bankrelated transaction|16|Risk_ReputationImpact|29|0.9531204700469971|0.570098340511322|Final Report on Guidelines on common procedures and methodologies for SREP and supervisory stress testing.di.json_p270_i7|Final Report on Guidelines on common procedures and methodologies for SREP and supervisory stress testing.di.json|The definition of step-in risk given in recital 9 of the RTS on Prudential consolidation (EBA/RTS/2021/04), i.e. the possibility that an institution may decide to provide financial support to an unconsolidated entity that is facing stress, even in the absence of, or in excess of, any contractual obligations, is not overlapping with the other subcategories of risk mentioned by the respondents (i.e. reputational risk, strategic and business risk). In line with the general principles applicable to the SREP, competent authorities should carry out a comprehensive assessment of risks faced by the institution, while avoiding any double counting. The assessment of reputational risk to be performed by competent authorities has the purpose of identifying the risk to which the institution is exposed and the members of the management body clearly have an influence on this risk. Nevertheless, having done the assessment, the competent authorities have to decide whether and what type of measures (qualitative or quantitative) are most adequate to address this source of risk, and also take into account actions already taken.
BaselFramework.di.json_p1282_i6|BaselFramework.di.json|31 Prior to the 2007 upheaval, many banks failed to recognise the reputational risk associated with their off-balance sheet vehicles. In stressed conditions some firms went beyond their contractual obligations to support their sponsored securitisations and off-balance sheet vehicles. A bank should incorporate the exposures that could give rise to reputational risk into its assessments of whether the requirements under the securitisation framework have been met and the potential adverse impact of providing implicit support.|prior upheaval many bank failed recognise reputational risk associated offbalance sheet vehicle stressed condition firm went beyond contractual obligation support sponsored securitisations offbalance sheet vehicle bank incorporate exposure could give rise reputational risk assessment whether requirement securitisation framework met potential adverse impact providing implicit support|10|Risk_ReputationImpact|48|0.9519861340522766|0.4968605637550354|L_2012150EN.01007801_1.json_p1_i55|L_2012150EN.01007801_1.json|The Commission considers that the price of SEK 17 million paid by FABV to Chips AB at the time of its purchase of the Facility does not constitute compelling evidence of the market value. The Commission has already explained in the opening decision that Chips AB accepted a price lower than the estimated market value of the Facility because it wanted to avoid damage to its corporate reputation deriving from the closure of the Facility and the job losses that would have followed, It also wished to avail itself of the opportunity of a quick sale to close the book on its Topp operations. A private market operator not having these constraints (which are specific to Chips AB) would have requested a higher price. For those reasons, the Commission does not deem it necessary to reply to the argument of Hammar (summarised in recital 27 of the present Decision), which moreover concerns a point which is not part of the formal investigation.
BaselFramework.di.json_p1283_i3|BaselFramework.di.json|34 Bank management should have appropriate policies in place to identify sources of reputational risk when entering new markets, products or lines of activities. In addition, a bank's stress testing procedures should take account of reputational risk so management has a firm understanding of the consequences and second round effects of reputational risk.|bank management appropriate policy place identify source reputational risk entering new market product line activity addition bank stress testing procedure take account reputational risk management firm understanding consequence second round effect reputational risk|16|Risk_ReputationImpact|32|0.9658039212226868|0.49173352122306824|Final report on joint EBA and ESMA GL on the assessment of suitability.di.json_p90_i12|Final report on joint EBA and ESMA GL on the assessment of suitability.di.json|Several respondents suggest deleting 'allegation' that would make institutions vulnerable to false allegations by third parties and thus effectively increase reputational risk. They also evidence that allegations cannot be considered as sufficient in order to assess a member of the management body being in contravention on the basic principle of 'innocent until proven guilty'.
BaselFramework.di.json_p1283_i3|BaselFramework.di.json|34 Bank management should have appropriate policies in place to identify sources of reputational risk when entering new markets, products or lines of activities. In addition, a bank's stress testing procedures should take account of reputational risk so management has a firm understanding of the consequences and second round effects of reputational risk.|bank management appropriate policy place identify source reputational risk entering new market product line activity addition bank stress testing procedure take account reputational risk management firm understanding consequence second round effect reputational risk|16|Risk_ReputationImpact|48|0.9519125819206238|0.6048436760902405|L_2012150EN.01007801_1.json_p1_i55|L_2012150EN.01007801_1.json|The Commission considers that the price of SEK 17 million paid by FABV to Chips AB at the time of its purchase of the Facility does not constitute compelling evidence of the market value. The Commission has already explained in the opening decision that Chips AB accepted a price lower than the estimated market value of the Facility because it wanted to avoid damage to its corporate reputation deriving from the closure of the Facility and the job losses that would have followed, It also wished to avail itself of the opportunity of a quick sale to close the book on its Topp operations. A private market operator not having these constraints (which are specific to Chips AB) would have requested a higher price. For those reasons, the Commission does not deem it necessary to reply to the argument of Hammar (summarised in recital 27 of the present Decision), which moreover concerns a point which is not part of the formal investigation.
BaselFramework.di.json_p1283_i3|BaselFramework.di.json|34 Bank management should have appropriate policies in place to identify sources of reputational risk when entering new markets, products or lines of activities. In addition, a bank's stress testing procedures should take account of reputational risk so management has a firm understanding of the consequences and second round effects of reputational risk.|bank management appropriate policy place identify source reputational risk entering new market product line activity addition bank stress testing procedure take account reputational risk management firm understanding consequence second round effect reputational risk|16|Risk_ReputationImpact|62|0.9469138979911804|0.5210767388343811|L_2017169EN.01000801_1.json_p1_i9|L_2017169EN.01000801_1.json|Asset managers, backed by sponsors, can decide to provide discretionary support to maintain the liquidity and the stability of their MMFs. Sponsors are often forced to support their sponsored MMFs that are losing value due to reputational risk and fear that panic could spread into sponsors' other businesses. Depending on the size of the MMF and the extent of the redemption pressure, sponsor support could reach proportions that exceed their readily available reserves. Therefore, an MMF should not receive external support.
CELEX_32013L0036_EN_TXT.di.json_p46_i9|CELEX_32013L0036_EN_TXT.di.json|Competent authorities shall ensure that institutions develop methodologies for the identification, measurement, management and monitoring of funding positions. Those methodologies shall include the current and projected material cash-flows in and arising from assets, liabilities, off-balance- sheet items, including contingent liabilities and the possible impact of reputational risk.|competent authority shall ensure institution develop methodology identification measurement management monitoring funding position methodology shall include current projected material cashflows arising asset liability offbalance sheet item including contingent liability possible impact reputational risk|7|Risk_ReputationImpact|20|0.9546979069709778|0.5625076293945312|Final Report on Guidelines on common procedures and methodologies for SREP and supervisory stress testing.di.json_p117_i2|Final Report on Guidelines on common procedures and methodologies for SREP and supervisory stress testing.di.json|c. media campaigns and consumer-association initiatives that contribute to a deterioration in the public perception and reputation of the institution;
CELEX_32013L0036_EN_TXT.di.json_p46_i9|CELEX_32013L0036_EN_TXT.di.json|Competent authorities shall ensure that institutions develop methodologies for the identification, measurement, management and monitoring of funding positions. Those methodologies shall include the current and projected material cash-flows in and arising from assets, liabilities, off-balance- sheet items, including contingent liabilities and the possible impact of reputational risk.|competent authority shall ensure institution develop methodology identification measurement management monitoring funding position methodology shall include current projected material cashflows arising asset liability offbalance sheet item including contingent liability possible impact reputational risk|7|Risk_ReputationImpact|62|0.9467155933380127|0.5677313804626465|L_2017169EN.01000801_1.json_p1_i9|L_2017169EN.01000801_1.json|Asset managers, backed by sponsors, can decide to provide discretionary support to maintain the liquidity and the stability of their MMFs. Sponsors are often forced to support their sponsored MMFs that are losing value due to reputational risk and fear that panic could spread into sponsors' other businesses. Depending on the size of the MMF and the extent of the redemption pressure, sponsor support could reach proportions that exceed their readily available reserves. Therefore, an MMF should not receive external support.
EBA GL 2020 06 Final Report on GL on loan origination and monitoring.di.json_p80_i8|EBA GL 2020 06 Final Report on GL on loan origination and monitoring.di.json|Financial institutions are expected to benefit from the adoption of ESG factors in their loan origination practices, as including and monitoring environmental factors will help them to streamline the processes developed and to ensure that environmental and social due diligence is incorporated into credit decisions. This will help to take those risks adequately into account and thereby avoid or mitigate financial losses, reputational risk, and social and environmental harm.|financial institution expected benefit adoption esg factor loan origination practice including monitoring environmental factor help streamline process developed ensure environmental social due diligence incorporated credit decision help take risk adequately account thereby avoid mitigate financial loss reputational risk social environmental harm|16|Risk_ReputationImpact|20|0.9414878487586975|0.7743540406227112|Final Report on Guidelines on common procedures and methodologies for SREP and supervisory stress testing.di.json_p117_i2|Final Report on Guidelines on common procedures and methodologies for SREP and supervisory stress testing.di.json|c. media campaigns and consumer-association initiatives that contribute to a deterioration in the public perception and reputation of the institution;
EBA GL 2020 06 Final Report on GL on loan origination and monitoring.di.json_p80_i8|EBA GL 2020 06 Final Report on GL on loan origination and monitoring.di.json|Financial institutions are expected to benefit from the adoption of ESG factors in their loan origination practices, as including and monitoring environmental factors will help them to streamline the processes developed and to ensure that environmental and social due diligence is incorporated into credit decisions. This will help to take those risks adequately into account and thereby avoid or mitigate financial losses, reputational risk, and social and environmental harm.|financial institution expected benefit adoption esg factor loan origination practice including monitoring environmental factor help streamline process developed ensure environmental social due diligence incorporated credit decision help take risk adequately account thereby avoid mitigate financial loss reputational risk social environmental harm|16|Risk_ReputationImpact|32|0.9428715705871582|0.6685110926628113|Final report on joint EBA and ESMA GL on the assessment of suitability.di.json_p90_i12|Final report on joint EBA and ESMA GL on the assessment of suitability.di.json|Several respondents suggest deleting 'allegation' that would make institutions vulnerable to false allegations by third parties and thus effectively increase reputational risk. They also evidence that allegations cannot be considered as sufficient in order to assess a member of the management body being in contravention on the basic principle of 'innocent until proven guilty'.
EBA GL 2020 06 Final Report on GL on loan origination and monitoring.di.json_p80_i8|EBA GL 2020 06 Final Report on GL on loan origination and monitoring.di.json|Financial institutions are expected to benefit from the adoption of ESG factors in their loan origination practices, as including and monitoring environmental factors will help them to streamline the processes developed and to ensure that environmental and social due diligence is incorporated into credit decisions. This will help to take those risks adequately into account and thereby avoid or mitigate financial losses, reputational risk, and social and environmental harm.|financial institution expected benefit adoption esg factor loan origination practice including monitoring environmental factor help streamline process developed ensure environmental social due diligence incorporated credit decision help take risk adequately account thereby avoid mitigate financial loss reputational risk social environmental harm|16|Risk_ReputationImpact|62|0.9399388432502747|0.5511911511421204|L_2017169EN.01000801_1.json_p1_i9|L_2017169EN.01000801_1.json|Asset managers, backed by sponsors, can decide to provide discretionary support to maintain the liquidity and the stability of their MMFs. Sponsors are often forced to support their sponsored MMFs that are losing value due to reputational risk and fear that panic could spread into sponsors' other businesses. Depending on the size of the MMF and the extent of the redemption pressure, sponsor support could reach proportions that exceed their readily available reserves. Therefore, an MMF should not receive external support.
Final Guidelines on connected clients (EBA-GL-2017-15).di.json_p11_i4|Final Guidelines on connected clients (EBA-GL-2017-15).di.json|Although these guidelines apply to exposures to shadow banking entities10 in the same way that they apply to exposures to other clients, the institution should pay particular attention when assessing connections among shadow banking entities. The EBA 'Guidelines on limits on exposures to shadow banking entities' define prudential expectations regarding groups of shadow banking entities. In this context, institutions should give due consideration to the fact that elements of control among these shadow banking entities will most likely consist not of equity ties but rather of a different type of relationship, i.e. situations of de facto control or relationships characterised by contractual obligations, implicit support or potential reputational risk (e.g. sponsorship or even branding). 11|guideline apply exposure shadow banking way apply exposure client institution pay particular attention assessing connection among shadow banking entity eba guideline limit exposure shadow banking entity define prudential expectation regarding group shadow banking entity context institution give due consideration fact element control among shadow banking entity likely consist equity tie rather different type relationship ie situation de facto control relationship characterised contractual obligation implicit support potential reputational risk eg sponsorship even branding|19|Risk_ReputationImpact|44|0.9512574672698975|0.62056565284729|L_2006085EN.01000101_1.json_p1_i148|L_2006085EN.01000101_1.json|In order to verify whether the actual price difference between the two operators reflects market conditions a correction factor was therefore applied to attempt to neutralise TV2's stronger position on the market. This weighting factor was derived from calculations by media agencies and reflects the different coverage in the target group attainable by purchasing 100 TRP 21-50 from TvDanmark and TV2. TvDanmark is on average slightly below 70 % of TV2's reach (in purchasing 100 TRP 21-50). If this factor is applied the prices are nearer to converging, while TV2's price remains slightly higher than that of TvDanmark. The difference in price thus seems to reflect market conditions. However, this result has to be treated with caution since the weighting factor cannot possibly adjust all the differences between the stations.
Final Guidelines on connected clients (EBA-GL-2017-15).di.json_p11_i9|Final Guidelines on connected clients (EBA-GL-2017-15).di.json|11 In March 2017, the Basel Committee published a second consultative document on identification and measurement of step-in risk, which proposes a conceptual framework that could form the basis of an approach for identifying, assessing and addressing step-in risk potentially embedded in banks' relationships with shadow banking entities in particular. It focuses on the identification of unconsolidated entities to which a bank may nevertheless provide financial support, in order to protect itself from any adverse reputational risk stemming from its connection to these entities.|march basel committee published second consultative document identification measurement stepin risk proposes conceptual framework could form basis approach identifying assessing addressing stepin risk potentially embedded bank relationship shadow banking entity particular focus identification unconsolidated entity bank may nevertheless provide financial support order protect adverse reputational risk stemming connection entity|16|Risk_ReputationImpact|20|0.9471280574798584|0.4879010021686554|Final Report on Guidelines on common procedures and methodologies for SREP and supervisory stress testing.di.json_p117_i2|Final Report on Guidelines on common procedures and methodologies for SREP and supervisory stress testing.di.json|c. media campaigns and consumer-association initiatives that contribute to a deterioration in the public perception and reputation of the institution;
Final Guidelines on connected clients (EBA-GL-2017-15).di.json_p11_i9|Final Guidelines on connected clients (EBA-GL-2017-15).di.json|11 In March 2017, the Basel Committee published a second consultative document on identification and measurement of step-in risk, which proposes a conceptual framework that could form the basis of an approach for identifying, assessing and addressing step-in risk potentially embedded in banks' relationships with shadow banking entities in particular. It focuses on the identification of unconsolidated entities to which a bank may nevertheless provide financial support, in order to protect itself from any adverse reputational risk stemming from its connection to these entities.|march basel committee published second consultative document identification measurement stepin risk proposes conceptual framework could form basis approach identifying assessing addressing stepin risk potentially embedded bank relationship shadow banking entity particular focus identification unconsolidated entity bank may nevertheless provide financial support order protect adverse reputational risk stemming connection entity|16|Risk_ReputationImpact|34|0.9636601209640503|0.49207526445388794|Guidelines on institutions stress testing (EBA-GL-2018-04).di.json_p42_i7|Guidelines on institutions stress testing (EBA-GL-2018-04).di.json|e) the internalisation of risks related to specific activities, as in the case of prime brokerage where symmetry, to a certain extent, might be required between the lending side and the borrowing side of securities, i.e. customer long positions are funded using the proceeds from customer short trades. Such symmetry is subject to counterparties' behaviour and is therefore sensitive to reputational risk. In the event of such risk, it may trigger the unwinding of trades that would unexpectedly leave the institution with securities on its balance sheet, along with the need to fund them;
Final Guidelines on connected clients (EBA-GL-2017-15).di.json_p11_i9|Final Guidelines on connected clients (EBA-GL-2017-15).di.json|11 In March 2017, the Basel Committee published a second consultative document on identification and measurement of step-in risk, which proposes a conceptual framework that could form the basis of an approach for identifying, assessing and addressing step-in risk potentially embedded in banks' relationships with shadow banking entities in particular. It focuses on the identification of unconsolidated entities to which a bank may nevertheless provide financial support, in order to protect itself from any adverse reputational risk stemming from its connection to these entities.|march basel committee published second consultative document identification measurement stepin risk proposes conceptual framework could form basis approach identifying assessing addressing stepin risk potentially embedded bank relationship shadow banking entity particular focus identification unconsolidated entity bank may nevertheless provide financial support order protect adverse reputational risk stemming connection entity|16|Risk_ReputationImpact|40|0.9502905607223511|0.5070753693580627|L_2005074EN.01004901_1.json_p1_i50|L_2005074EN.01004901_1.json|France also states that Ofimer’s monthly summaries indicate that the quantities landed over the first six months were stable in relation to the same period in 1999, although there were downturns, sometimes large-scale, over short periods which appear to correspond to the periods of greatest media coverage. However, during this period withdrawals increased by 28 % as against 1999, particularly during the first three months of the year (January: + 92 %, February: + 66 %, March: + 35 %). For some species the level of withdrawals was extremely high (Norway lobsters: + 175 %, monkfish: + 161 %, spider crab: × 5), which is evidence of the psychological impact of the oil pollution on consumer behaviour.
